id1,id2,label
303,377,階段
303,389,階段
303,401,階段
303,413,階段
303,416,階段
303,421,階段
303,422,階段
303,424,階段
303,426,階段
303,428,階段
303,470,階段
303,482,階段
303,483,階段
303,504,階段
310,321,階段
310,344,階段
310,364,階段
310,377,階段
310,389,階段
310,401,階段
310,413,階段
310,416,階段
310,421,階段
310,422,階段
310,424,階段
310,426,階段
310,428,階段
310,470,階段
310,482,階段
310,483,階段
310,504,階段
321,344,階段
321,364,階段
321,377,階段
321,389,階段
321,401,階段
321,413,階段
321,416,階段
321,421,階段
321,422,階段
321,424,階段
321,426,階段
321,428,階段
321,470,階段
321,482,階段
321,483,階段
321,504,階段
344,364,階段
344,377,階段
344,389,階段
344,401,階段
344,413,階段
344,416,階段
344,421,階段
344,422,階段
344,424,階段
344,426,階段
344,428,階段
344,470,階段
344,482,階段
344,483,階段
344,504,階段
364,377,階段
364,389,階段
364,401,階段
364,413,階段
364,416,階段
364,421,階段
364,422,階段
364,424,階段
364,426,階段
364,428,階段
364,470,階段
364,482,階段
364,483,階段
364,504,階段
377,389,階段
377,401,階段
377,413,階段
377,416,階段
377,421,階段
377,422,階段
377,424,階段
377,426,階段
377,428,階段
377,470,階段
377,482,階段
377,483,階段
377,504,階段
389,401,階段
389,413,階段
389,416,階段
389,421,階段
389,422,階段
389,424,階段
389,426,階段
389,428,階段
389,470,階段
389,482,階段
389,483,階段
389,504,階段
401,413,階段
401,416,階段
401,421,階段
401,422,階段
401,424,階段
401,426,階段
401,428,階段
401,470,階段
401,482,階段
401,483,階段
401,504,階段
413,416,階段
413,421,階段
413,422,階段
413,424,階段
413,426,階段
413,428,階段
413,470,階段
413,482,階段
413,483,階段
413,504,階段
416,421,階段
416,422,階段
416,424,階段
416,426,階段
416,428,階段
416,470,階段
416,482,階段
416,483,階段
416,504,階段
421,422,階段
421,424,階段
421,426,階段
421,428,階段
421,470,階段
421,482,階段
421,483,階段
421,504,階段
422,424,階段
422,426,階段
422,428,階段
422,470,階段
422,482,階段
422,483,階段
422,504,階段
424,426,階段
424,428,階段
424,470,階段
424,482,階段
424,483,階段
424,504,階段
426,428,階段
426,470,階段
426,482,階段
426,483,階段
426,504,階段
428,470,階段
428,482,階段
428,483,階段
428,504,階段
470,482,階段
470,483,階段
470,504,階段
482,483,階段
482,504,階段
483,504,階段
4,5,トリル
4,6,トリル
4,9,トリル
4,10,トリル
4,47,トリル
4,48,トリル
4,58,トリル
4,59,トリル
4,169,トリル
4,330,トリル
4,332,トリル
4,336,トリル
4,405,トリル
4,406,トリル
4,430,トリル
4,432,トリル
4,434,トリル
4,442,トリル
5,6,トリル
5,9,トリル
5,10,トリル
5,47,トリル
5,48,トリル
5,58,トリル
5,59,トリル
5,169,トリル
5,330,トリル
5,332,トリル
5,336,トリル
5,405,トリル
5,406,トリル
5,430,トリル
5,432,トリル
5,434,トリル
5,442,トリル
6,9,トリル
6,10,トリル
6,47,トリル
6,48,トリル
6,58,トリル
6,59,トリル
6,169,トリル
6,330,トリル
6,332,トリル
6,336,トリル
6,405,トリル
6,406,トリル
6,430,トリル
6,432,トリル
6,434,トリル
6,442,トリル
9,10,トリル
9,47,トリル
9,48,トリル
9,58,トリル
9,59,トリル
9,169,トリル
9,330,トリル
9,332,トリル
9,336,トリル
9,405,トリル
9,406,トリル
9,430,トリル
9,432,トリル
9,434,トリル
9,442,トリル
10,47,トリル
10,48,トリル
10,58,トリル
10,59,トリル
10,169,トリル
10,330,トリル
10,332,トリル
10,336,トリル
10,405,トリル
10,406,トリル
10,430,トリル
10,432,トリル
10,434,トリル
10,442,トリル
47,48,トリル
47,58,トリル
47,59,トリル
47,169,トリル
47,330,トリル
47,332,トリル
47,336,トリル
47,405,トリル
47,406,トリル
47,430,トリル
47,432,トリル
47,434,トリル
47,442,トリル
